sensor_index,last_seen,name,location_type,latitude,longitude,last_seen_utc,age_days,active_7d,active_30d,province
193097,1779861783,Mosaic Stadium Sideline,0,50.4512,-104.6333,2026-05-27 06:03:03+00:00,0.0015448145601851852,True,True,SK
193110,1779861855,Mosaic Stadium Upper Level,0,50.44997,-104.63419,2026-05-27 06:04:15+00:00,0.0007114812268518519,True,True,SK
195477,1779861787,Colonsay,0,51.976357,-105.87072,2026-05-27 06:03:07+00:00,0.001498518263888889,True,True,SK
195485,1779861792,Blaine Lake,0,52.831364,-106.87386,2026-05-27 06:03:12+00:00,0.0014406478935185185,True,True,SK
195505,1779861810,Delisle,0,51.92633,-107.13111,2026-05-27 06:03:30+00:00,0.0012323145601851851,True,True,SK
195511,1779861844,Hanley,0,51.633156,-106.44209,2026-05-27 06:04:04+00:00,0.0008387960416666666,True,True,SK
195555,1779861878,Rosthern,0,52.666874,-106.34828,2026-05-27 06:04:38+00:00,0.0004452775231481482,True,True,SK
195659,1779861869,Foley Base PRM1,0,49.23043,-105.47477,2026-05-27 06:04:29+00:00,0.0005494441898148149,True,True,SK
196017,1779861784,Wildwood,0,52.107727,-106.593544,2026-05-27 06:03:04+00:00,0.0015332404861111112,True,True,SK
196429,1779861792,All Saints Catholic School,0,50.3135,-107.78,2026-05-27 06:03:12+00:00,0.0014406478935185185,True,True,SK
196479,1779861809,Christ The King School,0,49.65119,-108.40426,2026-05-27 06:03:29+00:00,0.0012438886342592591,True,True,SK
209603,1779861783,FHQTC LRES Urban Office,0,50.471775,-104.58396,2026-05-27 06:03:03+00:00,0.0015448145601851852,True,True,SK
209845,1779861866,AQSU-Muskeg Lake,0,53.003407,-106.87685,2026-05-27 06:04:26+00:00,0.0005841664120370371,True,True,SK
209863,1779861871,AQSU-CAPMoN_PHL,0,55.51217,-106.724525,2026-05-27 06:04:31+00:00,0.0005262960416666666,True,True,SK
211611,1779861802,FHQTC LRES Treaty Four Territory Air Quality Monitor,0,50.756958,-103.78721,2026-05-27 06:03:22+00:00,0.0013249071527777778,True,True,SK
214441,1779544009,AQSU-Mistawasis,0,53.174923,-106.80666,2026-05-23 13:46:49+00:00,3.679484629375,True,True,SK
218169,1779861839,Mosaic Stadium Sideline (2),0,50.45109,-104.63352,2026-05-27 06:03:59+00:00,0.0008966664120370369,True,True,SK
220665,1779861835,SAS / Saskatoon Kinsmen Henk Ruys Soccer Centre,0,52.1678,-106.631836,2026-05-27 06:03:55+00:00,0.0009429627083333333,True,True,SK
223245,1779861827,All Nations Healing Hospital/FHQTC Health Services,0,50.761063,-103.78715,2026-05-27 06:03:47+00:00,0.0010355553009259257,True,True,SK
224705,1779861855,St. Henry's Sr School,0,50.93659,-102.79673,2026-05-27 06:04:15+00:00,0.0007114812268518519,True,True,SK
225117,1779861876,Century Field YRHS,0,51.215965,-102.478065,2026-05-27 06:04:36+00:00,0.0004684256712962963,True,True,SK
226573,1779861885,Mankota Public School,0,49.41989,-107.0674,2026-05-27 06:04:45+00:00,0.0003642590046296296,True,True,SK
226635,1779861777,Central Butte School,0,50.796543,-106.504524,2026-05-27 06:02:57+00:00,0.0016142590046296296,True,True,SK
226639,1779861802,Assiniboia Composite High School,0,49.62498,-105.99798,2026-05-27 06:03:22+00:00,0.0013249071527777778,True,True,SK
227149,1779861874,École Gravelbourg School,0,49.872833,-106.56045,2026-05-27 06:04:34+00:00,0.0004915738194444444,True,True,SK
227167,1779861778,Waskesiu Lake,0,53.92815,-106.07821,2026-05-27 06:02:58+00:00,0.0016026849305555556,True,True,SK
227165,1779464132,Craik School,0,51.044815,-105.82357,2026-05-22 15:35:32+00:00,4.603986944189815,True,True,SK
227173,1779861838,Prairie South School Division Office,0,50.40043,-105.55701,2026-05-27 06:03:58+00:00,0.000908240486111111,True,True,SK
227183,1779861863,Rouleau School,0,50.19128,-104.90163,2026-05-27 06:04:23+00:00,0.0006188886342592592,True,True,SK
229353,1779861845,Borden,0,52.403618,-107.23633,2026-05-27 06:04:05+00:00,0.0008272219675925925,True,True,SK
229921,1779861783,Cudworth,0,52.48632,-105.73341,2026-05-27 06:03:03+00:00,0.0015448145601851852,True,True,SK
231289,1779861891,AQSU-One Arrow,0,52.740547,-106.029366,2026-05-27 06:04:51+00:00,0.0002948145601851852,True,True,SK
240955,1779861823,Cote First Nation,0,51.62307,-101.90229,2026-05-27 06:03:43+00:00,0.0010818515972222222,True,True,SK
241481,1779861871,The Key First Nation,0,51.78237,-102.12954,2026-05-27 06:04:31+00:00,0.0005262960416666666,True,True,SK
241487,1779861783,Kahkewistahaw First Nation,0,50.50322,-102.53438,2026-05-27 06:03:03+00:00,0.0015448145601851852,True,True,SK
246833,1779861792,Brightsand Lake,0,53.59739,-108.909195,2026-05-27 06:03:12+00:00,0.0014406478935185185,True,True,SK
251803,1779861816,Saskatchewan Polytechnic Moose Jaw Campus,0,50.40406,-105.551186,2026-05-27 06:03:36+00:00,0.0011628701157407407,True,True,SK
252811,1779861874,AQSU-Yellow Quill,0,52.306683,-103.62862,2026-05-27 06:04:34+00:00,0.0004915738194444444,True,True,SK
