sensor_index,last_seen,name,location_type,latitude,longitude,last_seen_utc,age_days,active_7d,active_30d,province
175687,1780040879,AQSU-41A9,0,52.739178,-103.98449,2026-05-29 07:47:59+00:00,0.001215937048611111,True,True,SK
192963,1780040858,Cypress Hills Prov Park SPSA,0,49.663673,-109.53532,2026-05-29 07:47:38+00:00,0.0014589926041666667,True,True,SK
193091,1780040934,Rams 1,0,50.414425,-104.586845,2026-05-29 07:48:54+00:00,0.000579362974537037,True,True,SK
193097,1780040944,Mosaic Stadium Sideline,0,50.4512,-104.6333,2026-05-29 07:49:04+00:00,0.0004636222337962963,True,True,SK
193110,1780040947,Mosaic Stadium Upper Level,0,50.44997,-104.63419,2026-05-29 07:49:07+00:00,0.00042890001157407407,True,True,SK
195477,1780040858,Colonsay,0,51.976357,-105.87072,2026-05-29 07:47:38+00:00,0.0014589926041666667,True,True,SK
195485,1780040856,Blaine Lake,0,52.831364,-106.87386,2026-05-29 07:47:36+00:00,0.001482140752314815,True,True,SK
195505,1780040880,Delisle,0,51.92633,-107.13111,2026-05-29 07:48:00+00:00,0.001204362974537037,True,True,SK
195511,1780040912,Hanley,0,51.633156,-106.44209,2026-05-29 07:48:32+00:00,0.0008339926041666667,True,True,SK
195555,1780040837,Rosthern,0,52.666874,-106.34828,2026-05-29 07:47:17+00:00,0.0017020481597222223,True,True,SK
195659,1780040911,Foley Base PRM1,0,49.23043,-105.47477,2026-05-29 07:48:31+00:00,0.0008455666782407408,True,True,SK
196017,1780040851,Wildwood,0,52.107727,-106.593544,2026-05-29 07:47:31+00:00,0.0015400111226851851,True,True,SK
196429,1780040861,All Saints Catholic School,0,50.3135,-107.78,2026-05-29 07:47:41+00:00,0.0014242703819444444,True,True,SK
196479,1780040928,Christ The King School,0,49.65119,-108.40426,2026-05-29 07:48:48+00:00,0.0006488074189814815,True,True,SK
209603,1780040891,FHQTC LRES Urban Office,0,50.471775,-104.58396,2026-05-29 07:48:11+00:00,0.0010770481597222221,True,True,SK
209845,1780040934,AQSU-Muskeg Lake,0,53.003407,-106.87685,2026-05-29 07:48:54+00:00,0.000579362974537037,True,True,SK
