,0
AQHI,0.2693082154314455
AQHI_lag1,0.15794857187529923
AQHI_lag2,0.13007504561086866
PM25,0.10562938917696373
AQHI_lag3,0.09444565040699571
AQHI_change_1h,0.04458468065602586
AQHI_lag6,0.036024888583464684
AQHI_change_3h,0.03578740720029518
AQHI_lag24,0.03163903515855609
AQHI_lag12,0.02593273276742065
O3,0.022788942387823995
sin_hour,0.01033571696724403
NO2,0.009333731790352589
TEMP,0.0068953689929994585
RH,0.006280174030807566
sin_doy,0.004338053325396134
cos_doy,0.002922423011880679
cos_hour,0.0016926179580258548
lat_norm,0.0008218810040147594
U,0.000801012732070062
V,0.0007869923715302548
WS,0.0006474997425814508
dist_center,0.000550952461228029
lon_norm,0.00042901635670985095
