,0
AQHI,0.25582306606046096
AQHI_lag1,0.1784156208965189
AQHI_lag2,0.13959275124023512
PM25,0.10897415760272017
AQHI_lag3,0.09491905209546377
AQHI_change_1h,0.04908341029243031
AQHI_change_3h,0.035751055835922634
AQHI_lag6,0.03421329674697052
AQHI_lag24,0.029806193616426606
O3,0.021880732308732616
AQHI_lag12,0.01767816965676071
NO2,0.012412427310564099
RH,0.004868657912929248
TEMP,0.004857664548592841
sin_hour,0.003768718287519957
sin_doy,0.0029457096677899075
cos_doy,0.0015491982600121363
cos_hour,0.0010835829739806516
lat_norm,0.0006569279304937106
V,0.00042499101097064496
U,0.0003651654138007622
lon_norm,0.00032077844449157644
WS,0.0003183621615695547
dist_center,0.00029030972464268634
