,0
AQHI,0.2626106093678954
AQHI_lag1,0.20200064198288706
AQHI_lag2,0.14443411548973897
PM25,0.09946381168201966
AQHI_lag3,0.094493064332657
AQHI_lag6,0.041246742404608565
AQHI_change_3h,0.035968500931787405
AQHI_change_1h,0.030959095827160023
AQHI_lag24,0.027620538231485147
AQHI_lag12,0.01871900311712687
O3,0.01820091678690221
NO2,0.011300442768423529
RH,0.0033444182240518596
sin_doy,0.002837214236960447
TEMP,0.002798141576563504
sin_hour,0.000990503375630181
cos_doy,0.0009624893074207449
cos_hour,0.0006915316058927459
lat_norm,0.000434187916372257
V,0.00023086032318625675
U,0.0002010549804718273
lon_norm,0.00018728083410211012
WS,0.00016707633889575694
dist_center,0.00013775835776044874
